"","open","high","low","close","volume","adjusted","log_returns"
"AAPL",474.573250242308,474.282854533252,472.950866174259,474.554252008949,390679347527622,503.116041499434,0.000138345942735604
"AMZN",50964.6071918286,51186.1940696841,50426.3307907828,50855.9084163337,4533635486620.65,50855.9084163337,0.000165749165304177
"FB",934.664071208007,937.675061728528,929.872139538391,934.853629512836,158367295387283,934.853629512836,0.000146037272544764
"GOOG",21716.7337961511,21847.2452359229,21646.5656589211,21789.8398427462,863458844147.136,21789.8398427462,0.000110918954052699
"GOOGL",21968.7961524121,22065.7951569591,21854.5068619051,21994.2927240451,1002267403239.87,21994.2927240451,0.000108019174461013
"MSFT",137.806196592536,137.538269380602,137.196998022501,137.534529960168,236149396540165,153.250436612261,0.00010671021668651
"MU",88.3774833753039,89.9031332981926,85.9873811102102,88.2733135788065,172107229032120,88.2733135788065,0.000540840709067237
"NFLX",1432.76787617307,1448.65955994446,1406.75168147242,1428.87518654547,76443438050114.8,1428.87518654547,0.000379009915925662
"NOW",323.403969199826,324.908462854391,321.058557670387,323.177650548309,1544159755957.38,323.177650548309,0.00031519120555553
"NVDA",3544.808330278,3627.77562462426,3428.18258700652,3535.05497507587,68901936475030,3536.1324718321,0.000347116911237754
