Date,log_returns
10/7/16,-0.004734679
10/6/16,-0.00539591
10/5/16,0.014974445
10/4/16,0.000607138
10/3/16,-0.006916818
9/30/16,0.000603318
9/29/16,-0.014040116
9/28/16,-0.005848739
9/27/16,0.010364565
9/26/16,-0.00477089
9/23/16,-0.026337167
9/22/16,0.011238462
9/21/16,0.025349991
9/20/16,0.012007219
9/19/16,0.003831115
9/16/16,-0.030414725
9/15/16,0.006111563
9/14/16,-0.011512876
9/13/16,-0.012878586
9/12/16,0.014141853
9/9/16,-0.019610909
9/8/16,0.002233747
9/7/16,0.000579926
9/6/16,-0.011617053
9/2/16,0.008720788
9/1/16,0.003227812
8/31/16,-0.005044051
8/30/16,0.007450999
8/29/16,0.014395905
8/26/16,-0.013980371
8/25/16,-0.005058272
8/24/16,0.009140063
8/23/16,-0.006489739
8/22/16,0.007993373
8/19/16,0.005700896
8/18/16,-0.002183548
8/17/16,0.0162385
8/16/16,-0.00255474
8/15/16,-0.001784416
8/12/16,0.000169842
8/11/16,0.006987077
8/10/16,-0.004010766
8/9/16,8.51E-05
8/8/16,0.012426821
8/5/16,0.031982408
8/4/16,0.02014636
8/3/16,0.000908917
8/2/16,-0.011392546
8/1/16,-0.003320875
7/29/16,0.007555316
7/28/16,0.001716912
7/27/16,0.008811448
7/26/16,-0.000729679
7/25/16,0
7/22/16,0.007504373
7/21/16,-0.00403376
7/20/16,0.006793426
7/19/16,-0.004136642
7/18/16,0.001744498
7/15/16,0.007749088
7/14/16,0.001111953
7/13/16,0.012313588
7/12/16,0.008294081
7/11/16,0.034567577
7/8/16,0.014606043
7/7/16,0.008085057
7/6/16,0.006031371
7/5/16,-0.004627299
7/1/16,-0.003506481
6/30/16,-0.015185633
6/29/16,0.016586754
6/28/16,-0.004097792
6/27/16,-0.036239368
6/24/16,-0.05601949
6/23/16,0.031880705
6/22/16,-0.005804744
6/21/16,0.012399182
6/20/16,0.024494192
6/17/16,0.012181606
6/16/16,-0.004792937
6/15/16,0.013755385
6/14/16,-0.006016687
6/13/16,-0.014739835
6/10/16,-0.012518247
6/9/16,-0.010944692
6/8/16,0.00151562
6/7/16,-0.000473895
6/6/16,0.019518425
6/3/16,-0.003087018
6/2/16,0.004730861
6/1/16,-0.000773938
5/31/16,0.027648898
5/27/16,-0.016563536
5/26/16,-0.003416529
5/25/16,0.019483092
5/24/16,0.010889722
5/23/16,-0.010591606
5/20/16,0.009989095
5/19/16,-0.01909174
5/18/16,0.009102645
5/17/16,-0.002085082
5/16/16,0.010268761
5/13/16,-0.015807816
5/12/16,0.029428558
5/11/16,-0.062797348
5/10/16,0.02130919
5/9/16,0.006354834
5/6/16,0.006790382
5/5/16,0.006439113
5/4/16,-0.008214962
5/3/16,-0.010004046
5/2/16,0.007542809
4/29/16,-0.01231328
4/28/16,-0.032583057
4/27/16,-0.008891415
4/26/16,-0.000186304
4/25/16,-0.001024266
4/22/16,0.018883505
4/21/16,0.005611351
4/20/16,0.001431649
4/19/16,0.01288104
4/18/16,-0.003091183
4/15/16,-0.012270083
4/14/16,0.006691517
4/13/16,0.026041113
4/12/16,0.031501049
4/11/16,-0.022402905
4/8/16,0.024029779
4/7/16,-0.0125394
4/6/16,0.007768049
