Date,log_returns
10/7/16,-0.003450262
10/6/16,0.015037877
10/5/16,0.019418086
10/4/16,0.03691796
10/3/16,0.008668785
9/30/16,0.032230278
9/29/16,-0.006402071
9/28/16,0.007044538
9/27/16,-0.020986462
9/26/16,-0.016230069
9/23/16,-0.0104713
9/22/16,-0.021819047
9/21/16,-0.011919092
9/20/16,-0.004728141
9/19/16,-0.002943776
9/16/16,-0.001175088
9/15/16,0.008254764
9/14/16,-0.026294241
9/13/16,0.036410364
9/12/16,0
9/9/16,0.034066555
9/8/16,0.047522404
9/7/16,-0.001297017
9/6/16,-0.033771926
9/2/16,0.01642488
9/1/16,0.001274697
8/31/16,-0.001274697
8/30/16,0.002551022
8/29/16,-0.043118207
8/26/16,0.036118496
8/25/16,0.011479718
8/24/16,0.003856046
8/23/16,0.009055689
8/22/16,-0.025025368
8/19/16,0.026976588
8/18/16,-0.016145007
8/17/16,-0.00956335
8/16/16,0.014701447
8/15/16,0.024773105
8/12/16,-0.037569185
8/11/16,0.041537444
8/10/16,-0.023576731
8/9/16,-0.024297871
8/8/16,0.000631912
8/5/16,0.051226759
8/4/16,-0.025617164
8/3/16,0.003247811
8/2/16,0.027037585
8/1/16,0.025729246
7/29/16,-0.03570605
7/28/16,-0.002643756
7/27/16,-0.031191612
7/26/16,-0.005105308
7/25/16,0.00063674
7/22/16,0.003189795
7/21/16,-0.009539023
7/20/16,0.0140219
7/19/16,-0.018442494
7/18/16,-0.004401139
7/15/16,0.040325464
7/14/16,0.042020186
7/13/16,-0.030193505
7/12/16,0.053626693
7/11/16,0.048580981
7/8/16,-0.01525638
7/7/16,0.001443002
7/6/16,0.013081582
7/5/16,-0.063074392
7/1/16,-0.021739987
6/30/16,0.007419933
6/29/16,0.010891871
6/28/16,0.000684697
6/27/16,-0.0783553
6/24/16,-0.0965185
6/23/16,0.031544672
6/22/16,-0.007096422
6/21/16,0.01603836
6/20/16,0.031632808
6/17/16,0.033944177
6/16/16,-0.020253857
6/15/16,-0.009354605
6/14/16,-0.003098856
6/13/16,-0.01413234
6/10/16,-0.024707494
6/9/16,-0.015357656
6/8/16,-0.00409477
6/7/16,-0.005820738
6/6/16,0.011088529
6/3/16,-0.06090075
6/2/16,-0.019141957
6/1/16,0.006521762
5/31/16,-0.00922666
5/27/16,0.015242538
5/26/16,-0.025454935
5/25/16,0.005899722
5/24/16,0.011360685
5/23/16,-0.005966928
5/20/16,0.002165675
5/19/16,-0.018792499
5/18/16,0.066526311
5/17/16,0.00341686
5/16/16,0.027763495
5/13/16,-0.030042698
5/12/16,0.011448322
5/11/16,-0.013154322
5/10/16,0
5/9/16,-0.0107376
5/6/16,0.018151378
5/5/16,-0.020958003
5/4/16,-0.008928631
5/3/16,-0.035474388
5/2/16,0.024974154
4/29/16,-0.010391124
4/28/16,-0.011898464
4/27/16,-0.037461516
4/26/16,0.015132039
4/25/16,0.007387896
4/22/16,0.009579637
4/21/16,0.008592964
4/20/16,0.039048128
4/19/16,0.005624312
4/18/16,0.011915035
4/15/16,-0.016417012
4/14/16,0.010725477
4/13/16,-0.010725477
4/12/16,0.032527832
4/11/16,0.002322881
4/8/16,0.017004221
4/7/16,-0.037148787
4/6/16,0.016083058
4/5/16,-0.02966561
4/4/16,-0.007280906
4/1/16,0.003353832
3/31/16,-0.024337484
3/30/16,0.008781615
3/29/16,-0.030404079
3/28/16,-0.015915455
3/24/16,0.013245227
3/23/16,-0.031498667
3/22/16,0.00622086
3/21/16,0.027413419
3/18/16,-0.016958541
3/17/16,-0.018224925
3/16/16,-0.010777625
3/15/16,-0.002039776
3/14/16,-0.007106629
3/11/16,0.02457881
3/10/16,0.019367263
3/9/16,0.032226204
3/8/16,-0.037497698
3/7/16,0.010039714
3/4/16,0.028550283
3/3/16,-0.009788006
3/2/16,0.007604599
3/1/16,0.052614261
2/29/16,-0.012564414
2/26/16,0.037587541
2/25/16,-0.026171892
2/24/16,-0.001720677
2/23/16,-0.011962547
2/22/16,0.010244825
2/19/16,-0.006273189
2/18/16,-0.033541434
2/17/16,0.022797762
2/16/16,0.01701686
2/12/16,0.061339981
2/11/16,-0.036432814
2/10/16,-0.013978096
2/9/16,-0.003464207
2/8/16,-0.06309656
2/5/16,-0.008620743
2/4/16,-0.009078834
2/3/16,0.009078834
2/2/16,-0.053276305
2/1/16,0.017963018
1/29/16,-0.027580911
1/28/16,-0.008028141
1/27/16,0.003504384
1/26/16,-0.013944449
1/25/16,-0.012776587
1/22/16,0.014261368
1/21/16,0.01748733
1/20/16,-0.02538081
1/19/16,0.000983284
1/15/16,-0.031471975
1/14/16,0.015370139
1/13/16,-0.017274902
1/12/16,-0.026292594
1/11/16,0.013059887
1/8/16,-0.010740239
1/7/16,-0.011085564
1/6/16,-0.03209315
1/5/16,0.001335411
1/4/16,-0.010633685
12/31/15,-0.014873415
12/30/15,-0.001735358
12/29/15,0.036191064
12/28/15,-0.00805734
12/24/15,-0.009318905
12/23/15,0.011103823
12/22/15,0.018936544
12/21/15,-0.000909918
12/18/15,-0.017579898
12/17/15,-0.021658305
12/16/15,0.008342529
12/15/15,0.01914147
12/14/15,0.039418486
12/11/15,-0.045690908
12/10/15,0.013942209
12/9/15,-0.013495481
12/8/15,0.005825694
12/7/15,-0.022223137
12/4/15,-0.023888215
12/3/15,0.067461243
12/2/15,0.010616301
12/1/15,-0.028815165
11/30/15,-0.003151027
11/27/15,-0.003141129
11/25/15,-0.004916211
11/24/15,-0.003115961
11/23/15,-0.005319161
11/20/15,0.006208446
11/19/15,-0.009298274
11/18/15,0.003532013
11/17/15,-0.005293352
11/16/15,-0.003074898
11/13/15,-0.016960615
11/12/15,-0.008159805
11/11/15,0.00686698
11/10/15,-0.008576382
11/9/15,0.003850272
11/6/15,0.038449472
11/5/15,0.006703936
11/4/15,0.00449439
11/3/15,0.014976454
11/2/15,0.016597891
10/30/15,-0.010175851
10/29/15,0.037988155
10/28/15,0.03107046
10/27/15,-0.014684552
10/26/15,-0.012074525
10/23/15,0.028239462
10/22/15,-0.002466092
10/21/15,-0.019995789
10/20/15,0.020981497
10/19/15,0.002468528
10/16/15,0
10/15/15,0.02097979
10/14/15,-0.03667408
10/13/15,-0.016888218
10/12/15,-0.004296975
10/9/15,-0.00427859
